coral_number,first_seen_year,years_since,display_year,opacity_pct,fade_label,length,width,height,died_this_year,volume_cm3,status
LTER1_BR_T01_Poc_1.68_80_16,2022,1,2023,83,Year +1,4.2,3.9,4,0,34.35508038880362,Surviving
LTER1_BR_T01_Poc_1.68_80_16,2022,2,2024,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_1.69_91_12,2023,0,2023,100,Year +0,1.6,1,1.2,0,1.0641078523936982,Recruited
LTER1_BR_T01_Poc_1.69_91_12,2023,1,2024,83,Year +1,2.5,1.7,1.7,0,3.982821960503816,Surviving
LTER1_BR_T01_Poc_1.72_79_15,2023,0,2023,100,Year +0,3.7,2.8,3.1,0,17.157284678805052,Recruited
LTER1_BR_T01_Poc_1.72_79_15,2023,1,2024,83,Year +1,6.9,6,6,0,130.92430304202782,Surviving
LTER1_BR_T01_Poc_1.74_78_5,2024,0,2024,100,Year +0,2,1,1.9,0,2.2815137907542327,Recruited
LTER1_BR_T01_Poc_1.75_74_8,2023,0,2023,100,Year +0,2.8,2.4,2,0,7.238229473870882,Recruited
LTER1_BR_T01_Poc_1.75_74_8,2023,1,2024,83,Year +1,6.5,4.7,5.4,0,88.70725128978506,Surviving
LTER1_BR_T01_Poc_1.75_95_13,2023,0,2023,100,Year +0,2.5,2,2.3,0,6.097637415145344,Recruited
LTER1_BR_T01_Poc_1.75_95_13,2023,1,2024,83,Year +1,4,3.8,3.4,0,27.245132614954315,Surviving
LTER1_BR_T01_Poc_1.77_76_10,2024,0,2024,100,Year +0,1.3,1.3,1.2,0,1.0641078523936982,Recruited
LTER1_BR_T01_Poc_1.7_100_16,2015,0,2015,100,Year +0,1.9,1.1,1.3,0,1.541843253759035,Recruited
LTER1_BR_T01_Poc_1.7_100_16,2015,1,2016,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_1.7_100_16,2015,2,2017,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.7_100_16,2015,3,2018,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.7_100_16,2015,4,2019,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.7_100_16,2015,5,2020,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.9_85_0,2018,0,2018,100,Year +0,16.5,15,6.5,0,1064.107852393698,Recruited
LTER1_BR_T01_Poc_1.9_85_0,2018,1,2019,83,Year +1,17,9,6,0,635.4549881038907,Surviving
